"filename", "language", "C++", "Groovy", "CMake", "Properties", "XML", "Dart", "YAML", "JSON", "Markdown", "Swift", "HTML", "comment", "blank", "total"
"e:\new\bekam\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 6, 19
"e:\new\bekam\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 23, 4, 30
"e:\new\bekam\android\app\build.gradle", "Groovy", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 74
"e:\new\bekam\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 46
"e:\new\bekam\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"e:\new\bekam\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 6, 1, 34
"e:\new\bekam\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"e:\new\bekam\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 2, 13
"e:\new\bekam\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"e:\new\bekam\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 1, 19
"e:\new\bekam\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 1, 8
"e:\new\bekam\android\build.gradle", "Groovy", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"e:\new\bekam\android\gradle.properties", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\new\bekam\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"e:\new\bekam\android\settings.gradle", "Groovy", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"e:\new\bekam\assets\images\filter.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"e:\new\bekam\assets\lottie\search.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\new\bekam\assets\svg\search.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\new\bekam\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"e:\new\bekam\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"e:\new\bekam\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"e:\new\bekam\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"e:\new\bekam\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 2, 5
"e:\new\bekam\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"e:\new\bekam\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"e:\new\bekam\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\new\bekam\ios\firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"e:\new\bekam\lib\core\bloc_observer\bloc_observer.dart", "Dart", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 2, 6, 32
"e:\new\bekam\lib\core\firebase_options\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 11, 7, 83
"e:\new\bekam\lib\core\helper\responsive_helper.dart", "Dart", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 1, 12, 66
"e:\new\bekam\lib\core\theme\dark_theme.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 4, 24
"e:\new\bekam\lib\core\theme\light_theme.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 5, 4, 24
"e:\new\bekam\lib\core\utils\borders.dart", "Dart", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 10, 14, 77
"e:\new\bekam\lib\core\utils\colors.dart", "Dart", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 6, 27
"e:\new\bekam\lib\core\utils\decoration.dart", "Dart", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\new\bekam\lib\core\utils\functions.dart", "Dart", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 7, 8, 68
"e:\new\bekam\lib\core\utils\gradients.dart", "Dart", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 6
"e:\new\bekam\lib\core\utils\icons.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"e:\new\bekam\lib\core\utils\images.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"e:\new\bekam\lib\core\utils\radius.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 3, 15
"e:\new\bekam\lib\core\utils\shadows.dart", "Dart", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"e:\new\bekam\lib\core\utils\sizes.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 6, 39
"e:\new\bekam\lib\core\utils\strings.dart", "Dart", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 2, 10, 48
"e:\new\bekam\lib\core\utils\styles.dart", "Dart", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 7, 7, 45
"e:\new\bekam\lib\core\utils\values.dart", "Dart", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 5, 26
"e:\new\bekam\lib\data\cubit\forget_pass_cubit.dart", "Dart", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 10, 12, 67
"e:\new\bekam\lib\data\cubit\forget_pass_state.dart", "Dart", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 3, 9
"e:\new\bekam\lib\data\cubit\login_cubit_cubit.dart", "Dart", 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 33, 28, 196
"e:\new\bekam\lib\data\cubit\login_cubit_state.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 5, 12
"e:\new\bekam\lib\data\cubit\logout_cubit.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 16, 7, 49
"e:\new\bekam\lib\data\cubit\logout_state.dart", "Dart", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"e:\new\bekam\lib\data\cubit\product_search_cubit.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"e:\new\bekam\lib\data\cubit\product_search_state.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 8, 17, 36
"e:\new\bekam\lib\data\cubit\product_search_state.freezed.dart", "Dart", 0, 0, 0, 0, 0, 516, 0, 0, 0, 0, 0, 24, 75, 615
"e:\new\bekam\lib\data\cubit\providers\auth_provider.dart", "Dart", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 58, 21, 149
"e:\new\bekam\lib\data\cubit\providers\validators.dart", "Dart", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 6, 11, 41
"e:\new\bekam\lib\data\cubit\registeration_type_dart_cubit.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 8, 9, 32
"e:\new\bekam\lib\data\cubit\registeration_type_dart_state.dart", "Dart", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 3, 8
"e:\new\bekam\lib\data\cubit\signup_cubit.dart", "Dart", 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 20, 32, 216
"e:\new\bekam\lib\data\cubit\signup_state.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 6, 13
"e:\new\bekam\lib\data\cubit\theme_cubit.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 16, 9, 55
"e:\new\bekam\lib\data\cubit\theme_state.dart", "Dart", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"e:\new\bekam\lib\data\cubit\user_verification_helper_cubit.dart", "Dart", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 2, 10, 64
"e:\new\bekam\lib\data\cubit\user_verification_helper_state.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"e:\new\bekam\lib\data\injection.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 6, 7, 26
"e:\new\bekam\lib\data\model\error_model.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 8, 18
"e:\new\bekam\lib\data\model\error_model.g.dart", "Dart", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 5, 19
"e:\new\bekam\lib\data\model\registeration_type.dart", "Dart", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"e:\new\bekam\lib\data\model\search_result_model.dart", "Dart", 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 24, 185
"e:\new\bekam\lib\data\repository\api_result.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"e:\new\bekam\lib\data\repository\api_result.freezed.dart", "Dart", 0, 0, 0, 0, 0, 290, 0, 0, 0, 0, 0, 18, 47, 355
"e:\new\bekam\lib\data\repository\network_exception.dart", "Dart", 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 7, 24, 179
"e:\new\bekam\lib\data\repository\network_exception.freezed.dart", "Dart", 0, 0, 0, 0, 0, 3519, 0, 0, 0, 0, 0, 66, 277, 3862
"e:\new\bekam\lib\data\repository\serach_repo.dart", "Dart", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 4, 7, 47
"e:\new\bekam\lib\data\webServices\search_webservices.dart", "Dart", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"e:\new\bekam\lib\data\webServices\search_webservices.g.dart", "Dart", 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 5, 14, 115
"e:\new\bekam\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 7, 7, 76
"e:\new\bekam\lib\null.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 380, 0, 0, 0, 0, 0, 380
"e:\new\bekam\lib\presentation\common_widget\app_bar.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 2, 7, 60
"e:\new\bekam\lib\presentation\common_widget\color_loader.dart", "Dart", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 5, 19
"e:\new\bekam\lib\presentation\common_widget\show_alert_dialog.dart", "Dart", 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 8, 4, 111
"e:\new\bekam\lib\presentation\common_widget\slide_to_act.dart", "Dart", 0, 0, 0, 0, 0, 332, 0, 0, 0, 0, 0, 29, 52, 413
"e:\new\bekam\lib\presentation\common_widget\theme_icon.dart", "Dart", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 3, 20
"e:\new\bekam\lib\presentation\screens\landing_page.dart", "Dart", 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 12, 14, 107
"e:\new\bekam\lib\presentation\screens\not_verified_mail.dart", "Dart", 0, 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 3, 130
"e:\new\bekam\lib\presentation\screens\registeration\registeration_page.dart", "Dart", 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 6, 10, 187
"e:\new\bekam\lib\presentation\screens\router_offline.dart", "Dart", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 4, 3, 47
"e:\new\bekam\lib\presentation\screens\search\search_page.dart", "Dart", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 1, 6, 102
"e:\new\bekam\lib\presentation\screens\search\search_result_page.dart", "Dart", 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 60, 5, 180
"e:\new\bekam\lib\presentation\widgets\global_app_btn.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 2, 4, 53
"e:\new\bekam\lib\presentation\widgets\registeration\login_form.dart", "Dart", 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 16, 11, 159
"e:\new\bekam\lib\presentation\widgets\registeration\sign_up_form.dart", "Dart", 0, 0, 0, 0, 0, 305, 0, 0, 0, 0, 0, 25, 16, 346
"e:\new\bekam\lib\presentation\widgets\registeration\text_field.dart", "Dart", 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 12, 6, 137
"e:\new\bekam\lib\presentation\widgets\search\custom_background.dart", "Dart", 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 5, 12, 102
"e:\new\bekam\lib\presentation\widgets\search\product_widget.dart", "Dart", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 2, 5, 104
"e:\new\bekam\linux\flutter\generated_plugin_registrant.cc", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"e:\new\bekam\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\new\bekam\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"e:\new\bekam\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\new\bekam\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"e:\new\bekam\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"e:\new\bekam\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 3, 4, 21
"e:\new\bekam\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 4, 13
"e:\new\bekam\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"e:\new\bekam\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 1, 69
"e:\new\bekam\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 1, 344
"e:\new\bekam\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"e:\new\bekam\macos\firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"e:\new\bekam\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 51, 8, 115
"e:\new\bekam\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 13, 8, 35
"e:\new\bekam\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 16, 6, 60
"e:\new\bekam\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"e:\new\bekam\windows\flutter\generated_plugin_registrant.cc", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"e:\new\bekam\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"e:\new\bekam\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"e:\new\bekam\windows\runner\flutter_window.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 67
"e:\new\bekam\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"e:\new\bekam\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"e:\new\bekam\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"e:\new\bekam\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"e:\new\bekam\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"e:\new\bekam\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"e:\new\bekam\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 540, 91, 39, 8, 468, 7912, 59, 689, 16, 60, 38, 843, 1250, 12013
