"filename", "language", "Swift", "XML", "YAML", "Dart", "CMake", "C++", "JSON", "comment", "blank", "total"
"e:\new\bekam\android\app\src\main\AndroidManifest.xml", "XML", 0, -15, 0, 0, 0, 0, 0, 0, 0, -15
"e:\new\bekam\assets\images\filter.svg", "XML", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"e:\new\bekam\assets\lottie\search.json", "JSON", 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"e:\new\bekam\assets\svg\img_close_gray_400_01.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"e:\new\bekam\assets\svg\img_close_onprimarycontainer.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"e:\new\bekam\assets\svg\img_facebook.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"e:\new\bekam\assets\svg\img_flag.svg", "XML", 0, 17, 0, 0, 0, 0, 0, 0, 1, 18
"e:\new\bekam\assets\svg\img_google.svg", "XML", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"e:\new\bekam\assets\svg\img_icon_l.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"e:\new\bekam\assets\svg\img_icon_primary.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"e:\new\bekam\assets\svg\img_location_gray_400_01.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"e:\new\bekam\assets\svg\img_location_teal_700.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"e:\new\bekam\assets\svg\img_settings.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"e:\new\bekam\assets\svg\img_vector.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"e:\new\bekam\assets\svg\logo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\new\bekam\assets\svg\search.svg", "XML", 0, -4, 0, 0, 0, 0, 0, 0, -1, -5
"e:\new\bekam\lib\core\bloc_observer\bloc_observer.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 5, 0, 5
